Module_id,Module_name,KO_count,KO_set
M00103,Cholecalciferol biosynthesis,2,"K07419,K07438"
M00104,"Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate",12,"K00037,K00251,K00488,K00489,K01796,K07431,K08748,K08764,K10214,K11992,K12405,K12408"
M00106,"Conjugated bile acid biosynthesis, cholate => taurocholate/glycocholate",2,"K00659,K08748"
M00107,"Steroid hormone biosynthesis, cholesterol => prognenolone => progesterone",3,"K00070,K00498,K01822"
M00108,"C21-Steroid hormone biosynthesis, progesterone => corticosterone/aldosterone",3,"K00497,K00513,K07433"
M00109,"C21-Steroid hormone biosynthesis, progesterone => cortisol/cortisone",6,"K00071,K00497,K00512,K00513,K07433,K15680"
M00110,"C19/C18-Steroid hormone biosynthesis, pregnenolone => androstenedione => estrone",4,"K00070,K00512,K01822,K07434"
M00112,Tocopherol/tocotorienol biosynthesis,5,"K05928,K09833,K09834,K12502,K18534"
M00113,Jasmonic acid biosynthesis,8,"K00232,K00454,K01723,K05894,K07513,K10525,K10526,K10527"
M00114,"Ascorbate biosynthesis, plants, glucose-6P => ascorbate",8,"K00225,K00966,K01809,K10046,K10047,K14190,K17497,K17744"
M00115,"NAD biosynthesis, aspartate => NAD",7,"K00278,K00767,K00969,K01916,K01950,K03517,K06210"
M00116,"Menaquinone biosynthesis, chorismate => menaquinol",9,"K01661,K01911,K02548,K02549,K02551,K02552,K03183,K08680,K19222"
M00117,"Ubiquinone biosynthesis, prokaryotes, chorismate => ubiquinone",10,"K00568,K03179,K03181,K03182,K03183,K03184,K03185,K03186,K18240,K18800"
M00118,"Glutathione biosynthesis, glutamate => glutathione",5,"K01919,K01920,K11204,K11205,K21456"
M00119,"Pantothenate biosynthesis, valine/L-aspartate => pantothenate",6,"K00077,K00606,K00826,K01579,K01918,K13799"
M00120,"Coenzyme A biosynthesis, pantothenate => CoA",12,"K00859,K00867,K00954,K01598,K01922,K01947,K02201,K02318,K03525,K09680,K13038,K21977"
M00121,"Heme biosynthesis, plants and bacteria, glutamate => heme",15,"K00228,K00230,K00231,K01599,K01698,K01719,K01749,K01772,K01845,K01885,K02492,K02495,K13542,K13543,K14163"
M00122,"Cobalamin biosynthesis, cobinamide => cobalamin",10,"K00768,K00798,K02225,K02226,K02227,K02231,K02232,K02233,K19221,K22316"
M00123,"Biotin biosynthesis, pimeloyl-ACP/CoA => biotin",6,"K00652,K00833,K01012,K01935,K19562,K19563"
M00124,"Pyridoxal biosynthesis, erythrose-4P => pyridoxal-5P",6,"K00097,K00275,K00831,K03472,K03473,K03474"
M00125,"Riboflavin biosynthesis, GTP => riboflavin/FMN/FAD",19,"K00082,K00793,K00794,K00861,K00953,K01497,K01498,K02858,K11752,K11753,K14652,K20860,K20861,K20862,K20884,K21063,K21064,K22912,K22949"
M00126,"Tetrahydrofolate biosynthesis, GTP => THF",17,"K00287,K00796,K00950,K01077,K01113,K01495,K01633,K08310,K09007,K11754,K13939,K13940,K13941,K13998,K19965,K20457,K22391"
M00127,"Thiamine biosynthesis, AIR => thiamine-P/thiamine-2P",11,"K00788,K00941,K00946,K03147,K03148,K03149,K03150,K03151,K03154,K14153,K21219"
M00128,"Ubiquinone biosynthesis, eukaryotes, 4-hydroxybenzoate => ubiquinone",5,"K00591,K06125,K06126,K06127,K06134"
M00129,"Ascorbate biosynthesis, animals, glucose-1P => ascorbate",8,"K00002,K00012,K00103,K00699,K00963,K01053,K01195,K14756"
M00130,"Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4",12,"K00888,K00889,K00911,K01116,K05857,K05858,K05859,K05860,K05861,K13711,K13712,K19801"
M00131,"Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol",8,"K01092,K01106,K01107,K01109,K10047,K15422,K15759,K18649"
M00132,"Inositol phosphate metabolism, Ins(1,3,4)P3 => phytate",4,"K00913,K00915,K01765,K10572"
M00133,"Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine",7,"K00797,K01480,K01583,K01584,K01585,K01611,K02626"
M00134,"Polyamine biosynthesis, arginine => ornithine => putrescine",2,"K01476,K01581"
M00135,"GABA biosynthesis, eukaryotes, putrescine => GABA",5,"K00128,K00149,K00274,K00657,K14085"
M00136,"GABA biosynthesis, prokaryotes, putrescine => GABA",4,"K09470,K09471,K09472,K09473"
M00137,"Flavanone biosynthesis, phenylalanine => naringenin",5,"K00487,K00660,K01859,K01904,K10775"
M00138,"Flavonoid biosynthesis, naringenin => pelargonidin",3,"K00475,K05277,K13082"
M00140,"C1-unit interconversion, prokaryotes",5,"K00300,K00600,K01491,K01500,K01938"
M00141,"C1-unit interconversion, eukaryotes",4,"K00288,K00600,K13402,K13403"
M00142,"NADH:ubiquinone oxidoreductase, mitochondria",7,"K03878,K03879,K03880,K03881,K03882,K03883,K03884"
M00143,"NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria",11,"K03934,K03935,K03936,K03937,K03938,K03939,K03940,K03941,K03942,K03943,K03944"
M00144,"NADH:quinone oxidoreductase, prokaryotes",17,"K00330,K00331,K00332,K00333,K00334,K00335,K00336,K00337,K00338,K00339,K00340,K00341,K00342,K00343,K13378,K13380,K15863"
M00145,"NAD(P)H:quinone oxidoreductase, chloroplasts and cyanobacteria",14,"K05572,K05573,K05574,K05575,K05576,K05577,K05578,K05579,K05580,K05581,K05582,K05583,K05584,K05585"
M00146,NADH dehydrogenase (ubiquinone) 1 alpha subcomplex,14,"K03945,K03946,K03947,K03948,K03949,K03950,K03951,K03952,K03953,K03954,K03955,K03956,K11352,K11353"
M00147,NADH dehydrogenase (ubiquinone) 1 beta subcomplex,13,"K03957,K03958,K03959,K03960,K03961,K03962,K03963,K03964,K03965,K03966,K03967,K03968,K11351"
M00148,Succinate dehydrogenase (ubiquinone),4,"K00234,K00235,K00236,K00237"
M00149,"Succinate dehydrogenase, prokaryotes",6,"K00239,K00240,K00241,K00242,K18859,K18860"
M00150,"Fumarate reductase, prokaryotes",4,"K00244,K00245,K00246,K00247"
M00151,Cytochrome bc1 complex respiratory unit,10,"K00410,K00411,K00412,K00413,K03886,K03887,K03888,K03889,K03890,K03891"
M00152,Cytochrome bc1 complex,11,"K00410,K00411,K00412,K00413,K00414,K00415,K00416,K00417,K00418,K00419,K00420"
M00153,Cytochrome bd ubiquinol oxidase,4,"K00424,K00425,K00426,K22501"
M00154,Cytochrome c oxidase,18,"K02256,K02257,K02258,K02259,K02260,K02261,K02262,K02263,K02264,K02265,K02266,K02267,K02268,K02269,K02270,K02271,K02272,K02273"
M00155,"Cytochrome c oxidase, prokaryotes",5,"K02274,K02275,K02276,K02277,K15408"
M00156,"Cytochrome c oxidase, cbb3-type",5,"K00404,K00405,K00406,K00407,K15862"
M00157,"F-type ATPase, prokaryotes and chloroplasts",8,"K02108,K02109,K02110,K02111,K02112,K02113,K02114,K02115"
M00158,"F-type ATPase, eukaryotes",20,"K01549,K02125,K02126,K02127,K02128,K02129,K02130,K02131,K02132,K02133,K02134,K02135,K02136,K02137,K02138,K02139,K02140,K02141,K02142,K02143"
