rank,original_name,current_name,ncbi_taxid,status,matched_name_class,source
Family,Astathelohaniidae,Astathelohaniidae,2932329,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Astraeaceae,Astraeaceae,150780,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Astrephomenaceae,Astrephomenaceae,48501,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Astrosphaeriellaceae,Astrosphaeriellaceae,2126473,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Atheliaceae,Atheliaceae,80628,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Atopobiaceae,Atopobiaceae,1643824,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Atribacteraceae,Atribacteraceae,2847776,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Aulacanthidae,Aulacanthidae,238791,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Aurantimonadaceae,Aurantimonadaceae,255475,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Auriculariaceae,Auriculariaceae,5227,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Auriscalpiaceae,Auriscalpiaceae,40417,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Autographiviridae,Autographiviridae,,unmatched-kept-unchanged,,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Azonexaceae,Azonexaceae,2008795,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Azospirillaceae,Azospirillaceae,2829815,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Babesiidae,Babesiidae,32594,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Bacillaceae,Bacillaceae,186817,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Bacillales Family X. Incertae Sedis,Bacillales Family X. Incertae Sedis,,unmatched-kept-unchanged,,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Bacillariaceae,Bacillariaceae,33852,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Bacteriovoracaceae,Bacteriovoracaceae,263369,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Bacteroidaceae,Bacteroidaceae,815,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Baculoviridae,Baculoviridae,10442,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Baekduiaceae,Baekduiaceae,2600303,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Balneatrichaceae,Balneatrichaceae,2301193,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Balneicellaceae,Balneicellaceae,1903335,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Balneolaceae,Balneolaceae,1813606,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Bangiaceae,Bangiaceae,31345,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Barnesiellaceae,Barnesiellaceae,2005519,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Bartonellaceae,Bartonellaceae,772,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Basidiobolaceae,Basidiobolaceae,4858,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Bathycoccaceae,Bathycoccaceae,1525212,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Bdellovibrionaceae,Pseudobdellovibrionaceae,213483,updated,synonym,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Beijerinckiaceae,Beijerinckiaceae,45404,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Bernardetiaceae,Bernardetiaceae,1937968,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Beutenbergiaceae,Beutenbergiaceae,125316,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Bicaudaviridae,Bicaudaviridae,423358,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Bifidobacteriaceae,Bifidobacteriaceae,31953,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Bionectriaceae,Bionectriaceae,103887,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Blastochloridaceae,Blastochloridaceae,2831090,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Blastocladiaceae,Blastocladiaceae,4806,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Blastocystidae,Blastocystidae,2547934,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Blattabacteriaceae,Blattabacteriaceae,39782,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Bodonidae,Bodonidae,5708,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Bogoriellaceae,Allobogoriellaceae,145358,updated,synonym,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Bolbitiaceae,Bolbitiaceae,5398,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Boldiaceae,Boldiaceae,930025,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Boletaceae,Boletaceae,5368,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Boletinellaceae,Boletinellaceae,178450,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Bondarzewiaceae,Bondarzewiaceae,40420,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Borreliaceae,Borreliaceae,1643685,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Boseaceae,Alloboseaceae,2831100,updated,synonym,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Botryobasidiaceae,Botryobasidiaceae,68792,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Botryosphaeriaceae,Botryosphaeriaceae,45131,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Brachybasidiaceae,Brachybasidiaceae,190068,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Brachyspiraceae,Brachyspiraceae,143786,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Bradymonadaceae,Bradymonadaceae,1779135,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Bradyrhizobiaceae,Nitrobacteraceae,41294,updated,synonym,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Breoghaniaceae,Stappiaceae,2821832,updated,synonym,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Brevibacteriaceae,Brevibacteriaceae,85019,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Brevinemataceae,Brevinemataceae,1100104,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Brucellaceae,Brucellaceae,118882,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Bruguierivoracaceae,Bruguierivoracaceae,2812006,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Bryobacteraceae,Bryobacteraceae,1962910,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Bryopsidaceae,Bryopsidaceae,3127,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Budviciaceae,Budviciaceae,1903416,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Burkholderiaceae,Burkholderiaceae,119060,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Caedimonadaceae,Caedimonadaceae,2100208,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Cafeteriaceae,Cafeteriaceae,238884,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Caldicoprobacteraceae,Caldicoprobacteraceae,715221,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Caldilineaceae,Caldilineaceae,475964,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Caldisericaceae,Caldisericaceae,693073,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Caldisphaeraceae,Caldisphaeraceae,255472,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Calditrichaceae,Calditrichaceae,1962854,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Calotrichaceae,Calotrichaceae,2661849,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Campylobacteraceae,Campylobacteraceae,72294,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Candidatus Actinomarinaceae,Candidatus Actinomarinaceae,1389452,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Candidatus Anoxymicrobiaceae,Candidatus Anoxymicrobiaceae,2900672,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Candidatus Anstonellaceae,Candidatus Anstonellaceae,2885742,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Candidatus Aquicultoraceae,Candidatus Aquicultoraceae,2900659,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Candidatus Babeliaceae,Candidatus Babeliaceae,2497645,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Candidatus Bilamarchaeaceae,Candidatus Bilamarchaeaceae,2885757,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Candidatus Borkfalkiaceae,Christensenellaceae,990719,updated,synonym,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Candidatus Brocadiaceae,Candidatus Brocadiaceae,1127830,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Candidatus Burarchaeaceae,Candidatus Burarchaeaceae,2885749,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Candidatus Chazhemtobacteraceae,Candidatus Chazhemtobacteraceae,2715733,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Candidatus Clavichlamydiaceae,Candidatus Clavichlamydiaceae,1692504,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Candidatus Competibacteraceae,Candidatus Competibacteraceae,1400857,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Candidatus Cryosericaceae,Candidatus Cryosericaceae,2498708,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Candidatus Deianiraeaceae,Candidatus Deianiraeaceae,2603433,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Candidatus Desulfofervidaceae,Candidatus Desulfofervidaceae,1902584,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Candidatus Eremiobacteraceae,Candidatus Eremiobacteraceae,2829290,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Candidatus Fermentibacteraceae,Candidatus Fermentibacteraceae,2152899,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Candidatus Fermentimicrarchaeaceae,Candidatus Fermentimicrarchaeaceae,2795012,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Candidatus Geothermincolaceae,Candidatus Geothermincolaceae,2900654,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Candidatus Gugararchaeaceae,Candidatus Gugararchaeaceae,2885739,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Candidatus Hydromicrobiaceae,Candidatus Hydromicrobiaceae,2900657,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
