taxon,hex_colour
Acidobacteria bacterium RIFCSPLOWO2_12_FULL_67_14b,#F3A20A
Acidobacteria bacterium RIFCSPLOWO2_12_FULL_68_19,#83DA77
Acidobacteria bacterium SCGC AG-212-P17,#40E1B1
Acidobacteria bacterium SCN 69-37,#69ECC1
Acidobacteriaceae,#B4EF4D
Acidobacteriales,#52B931
Acidobacteriales bacterium,#D44451
Acidobacteriales bacterium 13_1_40CM_3_55_5,#1AE6B1
Acidobacteriales bacterium 13_2_20CM_2_55_5,#F051E0
Acidobacteriales bacterium 13_2_20CM_55_8,#E86E7B
Acidobacteriales bacterium 59-55,#59D5BB
Acidobacteriia,#1C26CE
Acidobacteriia bacterium,#15D924
Acidobacteriia bacterium 12-62-4,#5E16B7
Acidobacteriia bacterium AA117,#6380D8
Acidobacteriia bacterium SbA2,#E936EE
Acidobacterium,#246D8C
Acidobacterium ailaaui,#A35219
Acidobacterium capsulatum,#C4083F
Acidobacterium sp.,#2CACD2
Acidobacterium sp. 4Y35,#EE5282
Acidobacterium sp. S8,#4B61EF
Acidocella,#87A617
Acidocella aminolytica,#300AC1
Acidocella aromatica,#C91F24
Acidocella facilis,#AA34F7
Acidocella sp. 20-57-95,#1BB108
Acidocella sp. 20-58-15,#1022BD
Acidocella sp. 20-61-6,#A227DC
Acidocella sp. 20-63-7,#0DAB6F
Acidocella sp. 21-58-7,#39C534
Acidocella sp. 35-58-6,#D2962D
Acidocella sp. C78,#07B80B
Acidocella sp. KAb 2-4,#4AD7E6
Acidocella sp. MX-AZ02,#0F74C5
Acidomonas,#26C06E
Acidomonas methanolica,#2077C5
Acidothermaceae,#663AD7
Acidothermales,#D7C261
Acidothermus,#1D4DE0
Acidothermus cellulolyticus,#E76BA2
Acidovorax,#D1B828
Acidovorax antarcticus,#1A0AC9
Acidovorax anthurii,#E80E26
Acidovorax avenae,#BA572F
Acidovorax caeni,#F0C937
Acidovorax carolinensis,#9C156D
Acidovorax cattleyae,#1A62D4
Acidovorax citrulli,#C708BB
Acidovorax delafieldii,#4BB31E
Acidovorax kalamii,#D61998
Acidovorax konjaci,#12E534
Acidovorax monticola,#3E40F8
Acidovorax oryzae,#48A62A
Acidovorax radicis,#E255B1
Acidovorax soli,#AC9626
Acidovorax sp. 106,#C0AE33
Acidovorax sp. 210-6,#5EEC81
Acidovorax sp. 56,#72159A
Acidovorax sp. 69,#6432CF
Acidovorax sp. 93,#48D561
Acidovorax sp. ACV01,#484DF6
Acidovorax sp. ACV02,#69E69A
Acidovorax sp. BoFeN1,#6CF438
Acidovorax sp. CCYZU-2555,#798FDD
Acidovorax sp. CF316,#AD158F
Acidovorax sp. D4N7,#55D8F1
Acidovorax sp. FJL06,#E4DE58
Acidovorax sp. HDW3,#E35FD0
Acidovorax sp. HMWF029,#56B01B
Acidovorax sp. IB03,#CC1655
Acidovorax sp. JHL-3,#3B43DE
Acidovorax sp. JHL-9,#09EF1A
Acidovorax sp. JS42,#EEBC5D
Acidovorax sp. Leaf160,#6AE773
Acidovorax sp. MR-S7,#6CAEDD
Acidovorax sp. NB1,#1F912A
Acidovorax sp. NO-1,#B67F1F
Acidovorax sp. Root217,#CBF068
Acidovorax sp. Root219,#6DDEED
Acidovorax sp. Root267,#20C03C
Acidovorax sp. Root275,#5F22F1
Acidovorax sp. SCN 68-22,#0ED5C9
Acidovorax sp. SD340,#3DF2F4
Acidovorax sp. sic0104,#545CDE
Acidovorax sp. sif1233,#CB8117
Acidovorax sp. SRB_24,#C61021
Acidovorax sp. ST3,#5E17E5
Acidovorax sp. W1-6,#E93112
Acidovorax sp. YS12,#B848DB
Acidovorax temperans,#2ADB36
Acidovorax valerianellae,#F550B6
Acidovorax wautersii,#781BC3
Aciduliprofundum,#08DEAD
Aciduliprofundum boonei,#52B61B
Aciduliprofundum sp.,#7371E8
Acinetobacter,#BD9C08
Acinetobacter apis,#5AF817
Acinetobacter baumannii,#1E36A0
Acinetobacter baylyi,#D3D85B
Acinetobacter beijerinckii,#DA6B79
Acinetobacter bereziniae,#4CC831
Acinetobacter bouvetii,#33B672
Acinetobacter brisouii,#1F3F9C
Acinetobacter calcoaceticus,#499C15
Acinetobacter gerneri,#B6320A
Acinetobacter guillouiae,#56DA50
Acinetobacter gyllenbergii,#C61F90
Acinetobacter harbinensis,#A41B72
Acinetobacter idrijaensis,#71E383
Acinetobacter indicus,#1E209C
Acinetobacter johnsonii,#1F74E4
Acinetobacter junii,#7D4AE7
Acinetobacter larvae,#B62CA1
Acinetobacter nectaris,#1EF33F
Acinetobacter nosocomialis,#B12C24
Acinetobacter oleivorans,#D91D2F
Acinetobacter piscicola,#F5497D
Acinetobacter pittii,#5795F4
Acinetobacter pullicarnis,#E4A136
Acinetobacter puyangensis,#E08973
Acinetobacter qingfengensis,#17F446
Acinetobacter radioresistens,#34C5BB
Acinetobacter rudis,#B5191C
Acinetobacter schindleri,#D9D10B
Acinetobacter shaoyimingii,#F8375D
Acinetobacter soli,#5DF98F
Acinetobacter sp.,#DAF525
Acinetobacter sp. 826659,#BACE2D
Acinetobacter sp. A47,#1014B4
Acinetobacter sp. A7.4,#4CD5BE
Acinetobacter sp. ANC 3832,#BB472E
Acinetobacter sp. ANC 3862,#396DD0
Acinetobacter sp. ANC 3929,#37F7B4
Acinetobacter sp. ANC 4105,#4CC117
Acinetobacter sp. ANC 4173,#46F4B2
Acinetobacter sp. ANC 4204,#8BEA48
Acinetobacter sp. ANC 4558,#0FB1C9
Acinetobacter sp. ANC 4633,#DFF854
Acinetobacter sp. ANC 5324,#461DB8
Acinetobacter sp. BY484,#EAF046
Acinetobacter sp. ETR1,#B709D5
Acinetobacter sp. HR7,#DE55ED
Acinetobacter sp. MB5,#795CD5
Acinetobacter sp. ME22,#9D77DF
Acinetobacter sp. NCu2D-2,#D62922
Acinetobacter sp. NIPH 2699,#F13A3A
Acinetobacter sp. P8-3-8,#57ED8F
Acinetobacter sp. RIFCSPHIGHO2_12_41_5,#8DB92F
Acinetobacter sp. TGL-Y2,#A80FBE
Acinetobacter sp. Tr-809,#D4E96B
Acinetobacter sp. WCHAc010034,#F361BB
Acinetobacter sp. YH01002,#59F356
Acinetobacter sp. YH12041,#A414AD
Acinetobacter sp. YH12063,#399422
Acinetobacter sp. YH12151,#EF2439
Acinetobacter sp. YH12239,#CA082D
Acinetobacter sp. YH16053,#09BA9B
Acinetobacter tandoii,#3A26C3
Acinetobacter tianfuensis,#48B5F7
Acinetobacter ursingii,#98A525
Acinetobacter vivianii,#4ED18A
Acrocarpospora,#6D2292
Acrocarpospora corrugata,#A277E0
