	Domain	Phylum	Class	Order	Family	Genus	Species
OTU25857	Bacteria	Bacillota	 Clostridia	Eubacteriales	Clostridiaceae	Clostridium	 Clostridium sp. AM33-3
OTU25858	Bacteria	Pseudomonadota	 Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Mangrovicoccus	 Mangrovicoccus ximenensis
OTU25859	Bacteria	Bacteroidota	 Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	 Flavobacterium xueshanense
OTU25860	Bacteria	Bacillota	 Bacilli	Caryophanales	Bacillaceae	Terribacillus	 NA
OTU25861	Bacteria	Pseudomonadota	 Alphaproteobacteria	Hyphomicrobiales	Xanthobacteraceae	Starkeya	 Starkeya sp. HF14-78462
OTU25862	Bacteria	Candidatus Cloacimonetes	 NA	Unclassified	Unclassified	Candidatus Cloacimonas	 uncultured Candidatus Cloacimonas sp.
OTU25863	Bacteria	Actinomycetota	 Actinomycetia	Micrococcales	Microbacteriaceae	Microbacterium	 Microbacterium sp. KUDC0406
OTU25864	Bacteria	Bacillota	 Clostridia	Eubacteriales	Eubacteriaceae	Eubacterium	 Eubacterium coprostanoligenes
OTU25865	Bacteria	Nitrospirota	 NA	Unclassified	Unclassified	Unclassified	 Nitrospirae bacterium CG_4_10_14_3_um_filter_70_108
OTU25866	Bacteria	Actinomycetota	 Actinomycetia	Unclassified	Unclassified	Unclassified	 Actinobacteria bacterium BACL2 MAG-120813-bin23
OTU25867	Bacteria	Pseudomonadota	 Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae	Mesorhizobium	 Mesorhizobium sp. GR13
OTU25868	Bacteria	Actinomycetota	 Actinomycetia	Mycobacteriales	Corynebacteriaceae	Corynebacterium	 Corynebacterium lactis
