KO,category,description,ST8_group,data_layer,amazonian_mean_count,external_group_mean_count,log2_ratio_amazonia_vs_external,n_external_samples,detection_fraction_external
K04040: chlG,Anoxygenic photosynthesis (Green Sulfur Bacteria),"chlorophyll/bacteriochlorophyll a synthase [EC:2.5.1.62 2.5.1.133] (chlG, bchG)",Other iron-rich / unassigned,Metagenomics,0.35,2.0,-1.15200309344505,1,1.0
K08928: pufL,Anoxygenic photosynthesis (Purple bacteria/green nonsulfur bacteria),photosynthetic reaction center L subunit (pufL),Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Metagenomics,0.05,4.5,-2.389042290745899,4,1.0
K08928: pufL,Anoxygenic photosynthesis (Purple bacteria/green nonsulfur bacteria),photosynthetic reaction center L subunit (pufL),Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Metatranscriptomics,0.05,0.1428571428571428,-0.1222557500509978,7,0.1428571428571428
K08928: pufL,Anoxygenic photosynthesis (Purple bacteria/green nonsulfur bacteria),photosynthetic reaction center L subunit (pufL),Control: Burr Oak Reservoir BO4,Metagenomics,0.05,2.0,-1.514573172829758,2,1.0
K08928: pufL,Anoxygenic photosynthesis (Purple bacteria/green nonsulfur bacteria),photosynthetic reaction center L subunit (pufL),Ferruginous lake/sediment group: Lake Matano,Metagenomics,0.05,6.333333333333333,-2.804079790024743,6,1.0
K08928: pufL,Anoxygenic photosynthesis (Purple bacteria/green nonsulfur bacteria),photosynthetic reaction center L subunit (pufL),Ferruginous lake/sediment group: Lake Superior,Combined assembly,0.05,0.0,0.070389327891398,1,0.0
K08928: pufL,Anoxygenic photosynthesis (Purple bacteria/green nonsulfur bacteria),photosynthetic reaction center L subunit (pufL),Ferruginous lake/sediment group: Lake Superior,Metatranscriptomics,0.05,14.0,-3.836501267717121,1,1.0
K08928: pufL,Anoxygenic photosynthesis (Purple bacteria/green nonsulfur bacteria),photosynthetic reaction center L subunit (pufL),Ferruginous lake/sediment group: Lake Towuti,Metagenomics,0.05,43.90909090909091,-5.418546285055982,11,0.3636363636363636
K08928: pufL,Anoxygenic photosynthesis (Purple bacteria/green nonsulfur bacteria),photosynthetic reaction center L subunit (pufL),Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD,Metagenomics,0.05,0.0,0.070389327891398,21,0.0
K08928: pufL,Anoxygenic photosynthesis (Purple bacteria/green nonsulfur bacteria),photosynthetic reaction center L subunit (pufL),Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD,Metatranscriptomics,0.05,0.0,0.070389327891398,4,0.0
K08928: pufL,Anoxygenic photosynthesis (Purple bacteria/green nonsulfur bacteria),photosynthetic reaction center L subunit (pufL),Optional outgroup: Hydrothermal Fe-rich mats,Metagenomics,0.05,0.0,0.070389327891398,9,0.0
K08928: pufL,Anoxygenic photosynthesis (Purple bacteria/green nonsulfur bacteria),photosynthetic reaction center L subunit (pufL),Other iron-rich / unassigned,Metagenomics,0.05,0.0,0.070389327891398,1,0.0
K08929: pufM,Anoxygenic photosynthesis (Purple bacteria/green nonsulfur bacteria),photosynthetic reaction center M subunit (pufM),Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Metagenomics,0.25,4.75,-2.20163386116965,4,1.0
K08929: pufM,Anoxygenic photosynthesis (Purple bacteria/green nonsulfur bacteria),photosynthetic reaction center M subunit (pufM),Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Metatranscriptomics,0.25,0.2857142857142857,-0.04064198449734576,7,0.1428571428571428
K08929: pufM,Anoxygenic photosynthesis (Purple bacteria/green nonsulfur bacteria),photosynthetic reaction center M subunit (pufM),Control: Burr Oak Reservoir BO4,Metagenomics,0.25,2.0,-1.263034405833794,2,1.0
K08929: pufM,Anoxygenic photosynthesis (Purple bacteria/green nonsulfur bacteria),photosynthetic reaction center M subunit (pufM),Ferruginous lake/sediment group: Lake Matano,Metagenomics,0.25,7.833333333333333,-2.821029858954681,6,1.0
K08929: pufM,Anoxygenic photosynthesis (Purple bacteria/green nonsulfur bacteria),photosynthetic reaction center M subunit (pufM),Ferruginous lake/sediment group: Lake Superior,Combined assembly,0.25,0.0,0.3219280948873623,1,0.0
K08929: pufM,Anoxygenic photosynthesis (Purple bacteria/green nonsulfur bacteria),photosynthetic reaction center M subunit (pufM),Ferruginous lake/sediment group: Lake Superior,Metatranscriptomics,0.25,18.0,-3.925999418556223,1,1.0
K08929: pufM,Anoxygenic photosynthesis (Purple bacteria/green nonsulfur bacteria),photosynthetic reaction center M subunit (pufM),Ferruginous lake/sediment group: Lake Towuti,Metagenomics,0.25,57.27272727272727,-5.542820833094082,11,0.3636363636363636
K08929: pufM,Anoxygenic photosynthesis (Purple bacteria/green nonsulfur bacteria),photosynthetic reaction center M subunit (pufM),Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD,Metagenomics,0.25,0.0,0.3219280948873623,21,0.0
