	Ga0540489_genes.fna.	Ga0541010_genes.fna.	Ga0541012_genes.fna.	Ga0541011_genes.fna.	Ga0541014_genes.fna.	Ga0541013_genes.fna.	Ga0541015_genes.fna.	Ga0541016_genes.fna.	Ga0541017_genes.fna.	Ga0541018_genes.fna.	Ga0541019_genes.fna.	Ga0541020_genes.fna.	Ga0541021_genes.fna.	Ga0541022_genes.fna.	Ga0541023_genes.fna.	Ga0541024_genes.fna.	Ga0541025_genes.fna.	Ga0541026_genes.fna.	Ga0541027_genes.fna.	Ga0541028_genes.fna.
OTU00151	107	73	2	0	0	3	4	0	3	1	0	4	2	1	4	2	0	8	3	0
OTU00152	6	3	1	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	1
OTU00153	5	2	1	0	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0
OTU00154	444	83	158	89	36	91	83	35	25	48	104	126	74	115	44	69	82	230	142	57
OTU00155	294	145	107	8	204	127	287	135	853	77	13	281	344	18	553	371	1	20	15	17
OTU00156	4	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
OTU00157	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU00158	10	5	2	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0
OTU00159	5	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	2	0	0
OTU00160	13	3	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU00161	10	2	0	0	0	0	0	0	2	0	0	1	0	2	0	1	0	1	0	0
OTU00162	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
OTU00163	3	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0
OTU00164	18	2	2	0	0	0	0	2	0	0	0	1	2	2	0	1	0	0	1	1
OTU00165	3	1	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0
OTU00166	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU00167	10	1	7	1	0	0	0	1	2	0	2	0	4	1	2	0	0	0	0	1
OTU00168	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU00169	6	1	2	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1
OTU00170	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU00171	9	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU00172	2	1	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1
OTU00173	3	1	2	0	0	0	0	0	0	0	0	2	1	0	1	1	0	1	0	0
OTU00174	12	7	2	1	2	2	1	0	2	1	0	2	5	0	2	4	0	2	0	1
OTU00175	72	56	19	0	0	6	0	0	6	6	2	3	1	3	5	5	1	37	11	4
OTU00176	11	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU00177	17	16	1	2	0	1	1	0	0	0	2	0	0	0	0	1	0	0	1	0
OTU00178	1	2	1	0	1	3	0	0	1	0	0	2	1	0	1	0	0	0	0	0
OTU00179	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU00180	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU00181	64	28	14	1	0	7	3	0	4	0	1	3	9	0	4	2	0	3	7	1
OTU00182	3	1	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU00183	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU00184	2	0	1	0	1	2	1	0	0	0	0	1	2	0	2	2	0	0	0	1
OTU00185	3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU00186	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU00187	3	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0
OTU00188	41	20	2	2	1	1	1	0	1	1	2	0	0	1	0	3	0	0	0	0
OTU00189	6	2	0	0	0	0	1	0	0	1	0	1	1	0	2	1	0	0	0	0
OTU00190	4	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1
OTU00191	6	4	0	2	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0
OTU00192	3	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU00193	8	4	1	0	0	1	0	0	0	0	1	0	0	0	2	0	0	1	0	0
OTU00194	36	10	8	1	2	2	1	1	2	2	0	4	7	3	1	5	1	0	0	2
OTU00195	5	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU00196	3	2	0	0	0	0	0	1	1	0	0	0	0	0	3	0	0	0	0	0
OTU00197	9	1	0	0	1	0	1	1	1	1	0	0	3	0	1	2	0	0	0	1
OTU00198	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU00199	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU00200	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
OTU00201	3	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
OTU00202	3	3	1	1	1	1	1	1	1	1	0	0	1	0	0	0	0	1	0	1
OTU00203	90	347	572	508	125	504	407	111	211	396	970	840	199	510	105	313	225	1341	984	169
OTU00204	1	3	2	0	1	0	2	0	0	1	1	4	5	3	0	0	0	1	1	2
OTU00205	11	3	0	0	0	0	1	1	1	0	0	2	0	0	0	0	0	0	0	0
OTU00206	44	21	8	1	0	3	1	0	3	2	1	1	3	3	3	2	0	14	6	0
OTU00207	251	124	59	1	3	8	4	5	25	7	4	6	6	8	13	18	0	51	22	14
OTU00208	32	18	11	3	5	22	19	2	26	7	7	15	25	6	40	19	1	7	6	8
OTU00209	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU00210	4	2	1	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0
OTU00211	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU00212	8	5	0	0	1	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0
OTU00213	280	149	50	31	36	50	69	55	66	75	22	28	29	30	41	43	4	82	74	17
OTU00214	8	2	1	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0
OTU00215	4	0	1	1	0	0	0	1	0	0	1	0	2	1	0	0	0	1	0	0
OTU00216	30	15	11	0	8	4	4	1	15	2	2	6	6	1	9	12	1	4	1	1
OTU00217	62	67	203	44	88	150	174	94	118	83	43	155	159	115	128	128	13	91	72	98
OTU00218	3	1	6	1	4	3	3	0	4	5	0	3	8	1	9	3	0	0	1	1
OTU00219	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU00220	381	346	311	107	61	327	146	80	68	95	202	241	253	344	177	343	167	262	257	205
OTU00221	12	9	3	1	4	13	4	1	2	3	4	5	4	2	4	17	1	9	4	5
OTU00222	16	9	9	0	1	3	1	1	0	0	0	0	0	0	1	2	0	0	1	0
OTU00223	9	0	2	0	0	1	0	0	3	0	0	2	0	0	0	2	0	2	0	0
OTU00224	29	30	13	4	5	4	2	3	24	1	0	4	7	2	21	10	0	6	3	1
OTU00225	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU00226	2	2	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0
OTU00227	8	2	0	1	0	0	0	0	0	1	0	2	1	0	0	0	0	0	1	0
OTU00228	103	80	43	10	26	21	43	33	60	23	21	42	74	21	70	34	4	17	27	28
OTU00229	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU00230	12	2	0	0	1	0	1	0	0	0	0	1	1	0	2	1	0	0	0	0
OTU00231	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
OTU00232	5	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0
OTU00233	20	63	96	86	48	107	87	47	23	50	64	86	81	66	40	61	9	50	47	56
OTU00234	5	2	1	0	1	1	3	2	1	0	0	1	1	1	0	0	0	0	1	1
OTU00235	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
OTU00236	1	1	2	0	0	0	0	0	3	1	0	0	1	1	1	1	0	0	0	3
OTU00237	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU00238	3	0	0	0	1	0	1	0	0	1	0	1	0	0	1	1	0	0	0	0
OTU00239	1	2	6	0	2	0	0	0	1	0	0	0	0	0	1	1	0	0	0	2
OTU00240	8	4	0	0	0	1	0	2	0	0	2	0	0	0	0	2	0	2	1	0
OTU00241	5	0	0	0	0	0	1	0	1	0	0	0	0	0	3	1	0	0	0	1
OTU00242	1	2	2	0	1	3	2	0	0	0	2	0	0	0	0	1	0	0	1	0
OTU00243	2744	867	476	34	692	458	875	429	1689	223	38	806	1084	87	1569	1085	13	80	64	53
OTU00244	1	2	7	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	1
OTU00245	4	4	0	0	0	1	1	0	1	1	0	1	1	0	0	1	0	0	0	0
OTU00246	1	2	0	0	0	0	0	1	0	0	0	2	0	0	2	1	0	0	0	0
OTU00247	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU00248	1	4	7	1	0	6	4	2	1	4	2	3	7	6	3	1	1	3	2	5
OTU00249	8	7	6	0	1	2	0	0	4	3	1	2	3	1	2	7	1	1	1	1
OTU00250	7	1	0	0	1	0	1	0	1	0	0	0	1	0	2	2	0	0	0	0
OTU00251	267	121	12	9	18	79	40	48	33	38	6	15	18	8	22	25	1	26	16	10
OTU00252	10	1	2	1	0	1	0	0	3	0	0	1	1	0	1	0	0	0	0	2
OTU00253	8	5	3	1	1	1	1	1	7	1	1	7	3	0	22	3	0	0	0	0
OTU00254	29	14	11	2	3	2	5	2	6	2	0	6	3	3	7	5	1	2	2	2
OTU00255	7	1	0	0	0	0	0	0	1	0	1	1	0	1	0	1	0	0	1	0
OTU00256	3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
OTU00257	51	32	11	5	1	15	9	6	9	3	7	11	4	7	10	15	1	15	13	4
OTU00258	10	5	1	2	1	1	1	0	1	0	0	0	0	0	1	1	0	0	0	0
OTU00259	4	1	1	0	0	1	0	0	0	1	1	0	1	0	2	0	0	0	1	0
OTU00260	2	2	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0
OTU00261	11	0	1	1	0	2	1	0	0	0	0	3	0	0	2	0	0	1	0	0
OTU00262	13	5	3	0	1	2	4	6	6	3	1	2	4	3	7	6	0	3	1	1
OTU00263	168	63	84	2	5	10	15	8	83	10	5	15	27	4	58	31	3	9	8	9
OTU00264	8	1	3	1	0	1	0	0	4	0	0	0	0	1	1	2	0	0	0	0
OTU00265	3	2	0	1	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0
OTU00266	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU00267	3	2	1	0	0	0	0	0	0	1	0	0	0	1	1	1	0	1	0	0
OTU00268	6	1	0	0	0	0	1	1	3	1	1	1	1	0	2	1	0	0	0	0
OTU00269	6	8	3	0	0	1	1	1	2	1	0	1	2	0	2	3	0	0	0	1
OTU00270	3	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0
OTU00271	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU00272	4	5	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0
OTU00273	3	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0
OTU00274	16	3	2	0	0	1	0	2	2	1	1	3	3	1	2	1	0	2	0	1
OTU00275	3	0	1	0	0	0	1	0	2	0	0	0	0	0	1	1	0	0	0	0
