	Ga0540489_genes.fna.	Ga0541010_genes.fna.	Ga0541012_genes.fna.	Ga0541011_genes.fna.	Ga0541014_genes.fna.	Ga0541013_genes.fna.	Ga0541015_genes.fna.	Ga0541016_genes.fna.	Ga0541017_genes.fna.	Ga0541018_genes.fna.	Ga0541019_genes.fna.	Ga0541020_genes.fna.	Ga0541021_genes.fna.	Ga0541022_genes.fna.	Ga0541023_genes.fna.	Ga0541024_genes.fna.	Ga0541025_genes.fna.	Ga0541026_genes.fna.	Ga0541027_genes.fna.	Ga0541028_genes.fna.
OTU20958	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0
OTU20959	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU20960	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2
OTU20961	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU20962	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0
OTU20963	0	0	0	0	0	2	0	2	0	0	1	1	1	0	2	0	0	0	0	0
OTU20964	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0
OTU20965	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU20966	0	0	0	0	0	1	2	2	0	0	1	0	0	0	2	1	0	0	2	0
OTU20967	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU20968	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU20969	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU20970	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU20971	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
OTU20972	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU20973	0	0	0	0	0	1	1	1	0	1	2	1	1	0	1	0	0	0	0	0
OTU20974	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU20975	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU20976	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0
OTU20977	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU20978	0	0	0	0	0	1	0	2	1	1	0	0	0	0	0	0	0	0	0	0
OTU20979	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU20980	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU20981	0	0	0	0	0	1	2	0	0	1	0	1	2	1	0	1	0	1	0	0
OTU20982	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU20983	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0
OTU20984	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU20985	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU20986	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	1	0	1
OTU20987	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0
OTU20988	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0
OTU20989	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0
OTU20990	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU20991	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU20992	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU20993	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU20994	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU20995	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU20996	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU20997	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0
OTU20998	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU20999	0	0	0	0	0	1	1	0	1	0	0	1	2	0	0	0	0	0	0	0
OTU21000	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	1	0	0	0	1
OTU21001	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0
OTU21002	0	0	0	0	0	1	1	1	0	1	0	1	1	0	2	0	0	0	0	0
OTU21003	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21004	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21005	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21006	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1
OTU21007	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU21008	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0
OTU21009	0	0	0	0	0	3	1	0	3	2	0	1	0	0	1	0	0	0	0	1
OTU21010	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0
OTU21011	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU21012	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU21013	0	0	0	0	0	1	1	0	3	1	0	1	0	0	0	0	0	0	0	0
OTU21014	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21015	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1
OTU21016	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0
OTU21017	0	0	0	0	0	1	0	0	0	0	0	1	2	0	2	0	0	0	0	3
OTU21018	0	0	0	0	0	3	0	0	0	0	0	1	0	0	1	2	0	0	1	0
OTU21019	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21020	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0
OTU21021	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0
OTU21022	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU21023	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21024	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0
OTU21025	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21026	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0
OTU21027	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU21028	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21029	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21030	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU21031	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU21032	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	1	0
OTU21033	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21034	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU21035	0	0	0	0	0	3	3	1	2	0	0	3	1	1	3	1	0	0	0	1
OTU21036	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU21037	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21038	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21039	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU21040	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0
OTU21041	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0
OTU21042	0	0	0	0	0	1	0	1	0	1	0	0	3	0	0	1	0	0	0	0
OTU21043	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU21044	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21045	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1
OTU21046	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21047	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0
OTU21048	0	0	0	0	0	2	0	0	4	0	0	0	2	3	2	1	0	1	0	0
OTU21049	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU21050	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21051	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0
OTU21052	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21053	0	0	0	0	0	2	0	0	0	0	1	1	1	1	0	0	0	1	1	0
OTU21054	0	0	0	0	0	2	1	0	0	0	0	0	2	1	0	0	0	1	0	1
OTU21055	0	0	0	0	0	1	0	0	1	0	1	0	2	0	0	1	0	0	1	2
OTU21056	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0
OTU21057	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21058	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU21059	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21060	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0
OTU21061	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU21062	0	0	0	0	0	2	1	0	0	0	0	2	1	0	2	1	0	0	1	1
OTU21063	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0
OTU21064	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	1	0	0	0	0
OTU21065	0	0	0	0	0	1	0	0	1	0	0	1	0	1	2	1	0	0	1	0
OTU21066	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU21067	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21068	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0
OTU21069	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1
OTU21070	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21071	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU21072	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21073	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21074	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1
OTU21075	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21076	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU21077	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU21078	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21079	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0
OTU21080	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21081	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21082	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0
OTU21083	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0
OTU21084	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21085	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	1	0	0	1	0
OTU21086	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0
OTU21087	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU21088	0	0	0	0	0	3	1	0	2	0	0	0	0	0	0	0	0	0	0	0
OTU21089	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21090	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21091	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0
OTU21092	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21093	0	0	0	0	0	1	1	0	0	0	0	1	1	0	1	2	0	0	0	0
OTU21094	0	0	0	0	0	2	0	0	0	0	1	0	1	0	1	1	0	0	0	0
OTU21095	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21096	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21097	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21098	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU21099	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0
OTU21100	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21101	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21102	0	0	0	0	0	2	1	0	0	1	0	0	1	0	1	1	0	0	0	0
OTU21103	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU21104	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21105	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	1	0	1	0	0
OTU21106	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU21107	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	1	0
OTU21108	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	1	0	2	0	0
OTU21109	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21110	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0
OTU21111	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21112	0	0	0	0	0	1	0	0	0	0	0	2	2	0	2	1	0	0	0	0
OTU21113	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU21114	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	1	0	0	2	0
OTU21115	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21116	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0
OTU21117	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21118	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0
OTU21119	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0
OTU21120	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU21121	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21122	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU21123	0	0	0	0	0	1	1	0	2	0	0	0	0	0	4	2	0	0	0	0
OTU21124	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21125	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21126	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0
OTU21127	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0
OTU21128	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21129	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21130	0	0	0	0	0	1	1	0	0	0	1	1	0	0	1	0	0	0	0	0
OTU21131	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21132	0	0	0	0	0	1	0	0	1	0	1	1	1	0	1	0	0	0	0	0
OTU21133	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU21134	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU21135	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0
OTU21136	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21137	0	0	0	0	0	2	0	0	0	0	0	1	0	1	0	1	0	0	0	0
OTU21138	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	1	2
OTU21139	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0
OTU21140	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21141	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21142	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21143	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21144	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21145	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU21146	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	1	0
OTU21147	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU21148	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	1	0
OTU21149	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21150	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21151	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0
OTU21152	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21153	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1
OTU21154	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	1
OTU21155	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU21156	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21157	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0
OTU21158	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU21159	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	1	0	1	0	0
OTU21160	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21161	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0
OTU21162	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21163	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0
OTU21164	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21165	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0
OTU21166	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	1	0	0	0	0
OTU21167	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU21168	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU21169	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21170	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	1	0	0	0	0
OTU21171	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21172	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21173	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	1	0	0	0	1
OTU21174	0	0	0	0	0	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0
OTU21175	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21176	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	1	1	1
OTU21177	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21178	0	0	0	0	0	1	0	0	0	0	0	0	2	0	2	1	0	0	0	0
OTU21179	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1
OTU21180	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21181	0	0	0	0	0	2	1	1	0	0	1	0	1	0	3	0	0	1	0	1
OTU21182	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21183	0	0	0	0	0	1	2	0	1	1	0	1	1	5	2	2	0	0	0	0
OTU21184	0	0	0	0	0	1	2	0	0	0	0	0	0	2	0	1	0	0	0	0
OTU21185	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0
OTU21186	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21187	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21188	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU21189	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21190	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU21191	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU21192	0	0	0	0	0	1	0	1	4	0	0	2	1	0	1	0	0	0	0	0
OTU21193	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21194	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21195	0	0	0	0	0	1	1	0	0	1	1	2	1	0	1	0	0	0	0	0
OTU21196	0	0	0	0	0	1	1	0	0	0	0	0	0	3	0	0	0	0	0	0
OTU21197	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU21198	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
OTU21199	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU21200	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU21201	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0
OTU21202	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21203	0	0	0	0	0	1	1	0	2	0	0	0	2	0	2	1	0	0	0	0
OTU21204	0	0	0	0	0	1	1	1	0	0	0	1	0	1	0	0	0	0	0	0
OTU21205	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21206	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0
OTU21207	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0
OTU21208	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0
OTU21209	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU21210	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21211	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21212	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21213	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0
OTU21214	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU21215	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	1	1
OTU21216	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21217	0	0	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	0	0	0
OTU21218	0	0	0	0	0	1	0	1	1	0	0	0	0	1	2	0	0	0	0	0
OTU21219	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU21220	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0
OTU21221	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU21222	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0
OTU21223	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21224	0	0	0	0	0	1	0	2	1	0	0	0	0	1	0	0	0	0	0	0
OTU21225	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21226	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21227	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21228	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU21229	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU21230	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0
OTU21231	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0
OTU21232	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21233	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21234	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21235	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21236	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1
OTU21237	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	2	0	0
OTU21238	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0
OTU21239	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21240	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21241	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU21242	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0
OTU21243	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21244	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU21245	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU21246	0	0	0	0	0	1	0	0	2	1	0	1	0	0	0	0	0	0	0	0
OTU21247	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21248	0	0	0	0	0	1	0	0	0	0	0	2	0	0	2	0	0	0	1	0
OTU21249	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21250	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21251	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU21252	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21253	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21254	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1
OTU21255	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
