MAG_ID,lake_season_group,abundance,taxonomy_label,display_label
MAG.23,AM-R,0.057113,Candidatus Bathyarchaeota archaeon B26-1,MAG.23 — Candidatus Bathyarchaeota archaeon B26-1
MAG.23,TI-D,0.027386499999999973,Candidatus Bathyarchaeota archaeon B26-1,MAG.23 — Candidatus Bathyarchaeota archaeon B26-1
MAG.23,TI-R,0.0743415,Candidatus Bathyarchaeota archaeon B26-1,MAG.23 — Candidatus Bathyarchaeota archaeon B26-1
MAG.23,TIA-D,0.071331,Candidatus Bathyarchaeota archaeon B26-1,MAG.23 — Candidatus Bathyarchaeota archaeon B26-1
MAG.23,TIA-R,0.17673699999999998,Candidatus Bathyarchaeota archaeon B26-1,MAG.23 — Candidatus Bathyarchaeota archaeon B26-1
MAG.23,VI-D,0.068896,Candidatus Bathyarchaeota archaeon B26-1,MAG.23 — Candidatus Bathyarchaeota archaeon B26-1
MAG.23,VI-R,0.1869585,Candidatus Bathyarchaeota archaeon B26-1,MAG.23 — Candidatus Bathyarchaeota archaeon B26-1
MAG.24,AM-D,0.13428099999999998,Candidatus Bathyarchaeota archaeon B26,MAG.24 — Candidatus Bathyarchaeota archaeon B26
MAG.24,AM-R,0.1895215,Candidatus Bathyarchaeota archaeon B26,MAG.24 — Candidatus Bathyarchaeota archaeon B26
MAG.24,TI-D,0.0,Candidatus Bathyarchaeota archaeon B26,MAG.24 — Candidatus Bathyarchaeota archaeon B26
MAG.24,TI-R,0.0,Candidatus Bathyarchaeota archaeon B26,MAG.24 — Candidatus Bathyarchaeota archaeon B26
MAG.24,TIA-D,0.0,Candidatus Bathyarchaeota archaeon B26,MAG.24 — Candidatus Bathyarchaeota archaeon B26
MAG.24,TIA-R,0.0,Candidatus Bathyarchaeota archaeon B26,MAG.24 — Candidatus Bathyarchaeota archaeon B26
MAG.24,VI-D,0.153051,Candidatus Bathyarchaeota archaeon B26,MAG.24 — Candidatus Bathyarchaeota archaeon B26
MAG.24,VI-R,0.0555255,Candidatus Bathyarchaeota archaeon B26,MAG.24 — Candidatus Bathyarchaeota archaeon B26
MAG.25,AM-D,0.2742905,Nitrosotalea sp.,MAG.25 — Nitrosotalea sp.
MAG.25,AM-R,0.0792595,Nitrosotalea sp.,MAG.25 — Nitrosotalea sp.
MAG.25,TI-D,0.0,Nitrosotalea sp.,MAG.25 — Nitrosotalea sp.
MAG.25,TI-R,0.0,Nitrosotalea sp.,MAG.25 — Nitrosotalea sp.
MAG.25,TIA-D,0.0,Nitrosotalea sp.,MAG.25 — Nitrosotalea sp.
MAG.25,TIA-R,0.0,Nitrosotalea sp.,MAG.25 — Nitrosotalea sp.
MAG.25,VI-D,0.0,Nitrosotalea sp.,MAG.25 — Nitrosotalea sp.
MAG.25,VI-R,0.0,Nitrosotalea sp.,MAG.25 — Nitrosotalea sp.
MAG.26,AM-D,0.0,Burkholderiales bacterium,MAG.26 — Burkholderiales bacterium
MAG.26,AM-R,0.0,Burkholderiales bacterium,MAG.26 — Burkholderiales bacterium
MAG.26,TI-D,0.08363224999999999,Burkholderiales bacterium,MAG.26 — Burkholderiales bacterium
MAG.26,TI-R,0.1836105,Burkholderiales bacterium,MAG.26 — Burkholderiales bacterium
MAG.26,TIA-D,0.04307775,Burkholderiales bacterium,MAG.26 — Burkholderiales bacterium
MAG.26,TIA-R,0.03772,Burkholderiales bacterium,MAG.26 — Burkholderiales bacterium
MAG.26,VI-D,0.0,Burkholderiales bacterium,MAG.26 — Burkholderiales bacterium
MAG.26,VI-R,0.0,Burkholderiales bacterium,MAG.26 — Burkholderiales bacterium
