	Domain	Phylum	Class	Order	Family	Genus	Species
OTU02403	Bacteria	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Nocardiaceae	 Nocardia	 Nocardia sp. ncl2
OTU02404	Bacteria	 Actinobacteria	 Actinomycetia	 Nakamurellales	 Nakamurellaceae	 Nakamurella	 Nakamurella aerolata
OTU02405	Bacteria	 NA	 NA	 NA	 NA	 NA	 bacterium BMS3Abin04
OTU02406	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodospirillales	 Acetobacteraceae	 Roseomonas	 Roseomonas oryzicola
OTU02407	Bacteria	 Chloroflexi	 Anaerolineae	 Anaerolineales	 Anaerolineaceae	 Longilinea	 Longilinea arvoryzae
OTU02408	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Myxococcales	 Archangiaceae	 Cystobacter	 Cystobacter gracilis
OTU02409	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae	 Sphingobium	 Sphingobium sp.
OTU02410	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Nevskiales	 Sinobacteraceae	 Solimonas	 Solimonas marina
OTU02411	Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Burkholderiaceae	 Burkholderia	 Burkholderia pseudomallei
OTU02412	Bacteria	 Proteobacteria	 Betaproteobacteria	 Nitrosomonadales	 Gallionellaceae	 Candidatus Nitrotoga	 Candidatus Nitrotoga sp. CP45
OTU02413	Bacteria	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Mycobacteriaceae	 Mycolicibacterium	 Mycolicibacterium llatzerense
OTU02414	Bacteria	 Candidatus Blackallbacteria	 NA	 NA	 NA	 NA	 bacterium (Candidatus Blackallbacteria) CG18_big_fil_WC_8_21_14_2_50_49_26
OTU02415	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sneathiellales	 Sneathiellaceae	 Oceanibacterium	 Oceanibacterium hippocampi
OTU02416	Bacteria	 Proteobacteria	 Betaproteobacteria	 Nitrosomonadales	 Nitrosomonadaceae	 Nitrosovibrio	 NA
OTU02417	Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Comamonadaceae	 Hydrogenophaga	 Hydrogenophaga sp. A37
OTU02418	Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Comamonadaceae	 Variovorax	 Variovorax sp.
OTU02419	Bacteria	 Deferribacteres	 Deferribacteres	 Deferribacterales	 Deferribacteraceae	 Calditerrivibrio	 Calditerrivibrio nitroreducens
OTU02420	Bacteria	 Actinobacteria	 Actinomycetia	 Propionibacteriales	 NA	 NA	 NA
OTU02421	Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Burkholderiaceae	 Mycetohabitans	 NA
OTU02422	Bacteria	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Nocardiaceae	 Williamsia	 Williamsia sp. DF01-3
OTU02423	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Chromatiales	 Chromatiaceae	 Thiohalocapsa	 Thiohalocapsa halophila
OTU02424	Bacteria	 Acidobacteria	 NA	 NA	 NA	 NA	 Acidobacteria bacterium RBG_13_68_16
OTU02425	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Nevskiales	 Steroidobacteraceae	 Steroidobacter	 NA
OTU02426	Bacteria	 NA	 NA	 NA	 NA	 NA	 bacterium HR26
