,AM.P1.D,AM.P1.R,AM.P2.D,AM.P2.R,TIA.P1.D,TIA.P1.R,TIA.P2.D,TIA.P2.R,TI.P1.D,TI.P1.R,TI.P2.D,TI.P2.R,TI.P3.D,TI.P3.R,TI.P4.D,TI.P4.R,VI.P1.D,VI.P1.R,VI.P2.D,VI.P2.R
"M00159 | V/A-type ATPase, prokaryotes",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"M00160 | V-type ATPase, eukaryotes",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
M00161 | Photosystem II,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
M00162 | Cytochrome b6f complex,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
M00163 | Photosystem I,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
M00165 | Reductive pentose phosphate cycle (Calvin cycle),2,2,1,1,2,1,1,2,2,1,1,1,2,1,2,1,1,1,1,1
"M00166 | Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"M00167 | Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P",2,2,1,1,2,1,1,2,2,1,1,1,2,1,2,1,1,1,1,1
"M00168 | CAM (Crassulacean acid metabolism), dark",2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"M00169 | CAM (Crassulacean acid metabolism), light",2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2
"M00170 | C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type",0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"M00171 | C4-dicarboxylic acid cycle, NAD - malic enzyme type",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M00172 | C4-dicarboxylic acid cycle, NADP - malic enzyme type",1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1
M00173 | Reductive citrate cycle (Arnon-Buchanan cycle),1,1,0,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1
"M00174 | Methane oxidation, methanotroph, methane => formaldehyde",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M00175 | Nitrogen fixation, nitrogen => ammonia",1,2,1,1,2,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1
"M00176 | Assimilatory sulfate reduction, sulfate => H2S",2,2,1,2,1,2,1,1,2,1,1,1,2,1,2,2,0,1,1,1
"M00307 | Pyruvate oxidation, pyruvate => acetyl-CoA",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"M00308 | Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"M00309 | Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M00338 | Cysteine biosynthesis, homocysteine + serine => cysteine",2,2,1,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2
"M00344 | Formaldehyde assimilation, xylulose monophosphate pathway",1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1
"M00345 | Formaldehyde assimilation, ribulose monophosphate pathway",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"M00346 | Formaldehyde assimilation, serine pathway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M00356 | Methanogenesis, methanol => methane",1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0
"M00357 | Methanogenesis, acetate => methane",1,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0
M00358 | Coenzyme M biosynthesis,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1
"M00363 | EHEC pathogenicity signature, Shiga toxin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M00364 | C10-C20 isoprenoid biosynthesis, bacteria",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"M00365 | C10-C20 isoprenoid biosynthesis, archaea",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2
"M00366 | C10-C20 isoprenoid biosynthesis, plants",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M00367 | C10-C20 isoprenoid biosynthesis, non-plant eukaryotes",0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"M00368 | Ethylene biosynthesis, methionine => ethylene",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M00369 | Cyanogenic glycoside biosynthesis, tyrosine => dhurrin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M00370 | Glucosinolate biosynthesis, tryptophan => glucobrassicin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M00371 | Castasterone biosynthesis, campesterol => castasterone",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M00372 | Abscisic acid biosynthesis, beta-carotene => abscisic acid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M00373 | Ethylmalonyl pathway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
